county,pop
27095,35536
27097,46419
6085,1802412
27099,38101
27101,3322
51678,9346
27103,86049
51680,90280
27105,22014
27107,8861
51685,61268
27111,77996
27113,12645
51690,38174
27115,41703
27117,9263
27119,34319
27121,33029
27123,526285
51700,238990
27125,6742
27127,31971
27129,38777
27131,30743
27133,10214
51710,171471
27135,17047
27137,224958
27139,165893
27141,63775
27143,42761
51720,5378
27145,149291
27147,61669
27149,7411
27151,12356
27153,27795
51730,63596
27155,5175
27157,30014
6087,264012
51735,12258
27161,44396
27163,334962
51740,65992
27165,10504
29001,20065
27167,41997
27169,53486
27171,197754
27173,23914
51750,49776
48221,5381
51760,365296
29107,45086
35003,3176
19001,4466
51770,90626
19003,867
19005,3225
51775,87538
5091,41524
19009,2249
19011,21459
19013,81571
19015,2882
19017,6540
19019,15722
19021,4502
51790,29250
19023,23472
19025,2398
6089,139365
19027,16175
19031,7813
51800,160163
19033,37619
29003,9195
19035,7632
19037,770
19039,6793
19041,1709
51810,437796
19043,7810
19045,47797
10001,101649
19049,22806
19051,10197
51820,29205
19053,9939
19055,13346
19057,35976
19061,61642
51830,80308
48233,24073
19065,31082
19067,19026
19069,12382
19071,5981
51840,37081
19073,20312
19075,44001
19077,18174
19079,16451
19081,8899
19083,15911
19085,5199
6091,2664
19087,2076
19089,10765
5037,4685
19091,2237
19093,4975
19095,12524
19097,19664
19099,21817
19101,10229
19103,97568
19105,11101
19107,8787
19109,12831
19111,39375
19113,228233
19115,16772
19117,5694
19119,8517
5001,6755
19121,15967
19123,23059
19125,29368
19127,4116
53011,370947
19129,13052
19131,11865
19133,6205
19135,1822
32007,44114
19137,11188
19139,53875
19141,6239
19143,10987
19145,11351
6093,46281
19147,9984
19149,14915
19151,10254
19153,402441
29007,18069
19155,93616
19157,18676
19159,4390
19161,23423
19163,157994
19165,29769
19167,12718
19169,100129
19171,63359
19173,9901
19175,1841
19177,10064
19179,42490
5003,13923
19181,71576
19183,40335
19185,11798
19187,60702
19189,9360
19191,39181
11001,496457
19195,6018
32009,865
19197,18991
6095,383215
48257,94486
29143,12070
48259,44944
48261,346
5005,6169
48263,490
48265,41268
32011,1362
6097,473956
40075,9319
29011,6330
48269,1711
29155,25580
48271,2636
5007,105495
48273,28328
5093,46222
48275,8490
32013,290
48247,5247
6099,490349
48277,48357
40087,77068
48281,45386
29167,42692
48283,4548
48285,16999
32015,4960
6101,107642
48287,20418
5039,5260
48289,9478
48291,52373
5011,891
48293,24313
44001,30376
44003,105709
53021,59024
44005,78048
44007,641531
44009,120627
48295,3091
32017,4258
6103,140377
48297,26319
48299,19447
48301,90
35019,3778
5013,5135
48303,260743
48305,5013
32019,42636
6105,12769
48307,2253
48309,219832
29195,31310
48311,782
5015,15825
48313,15330
29199,5670
53025,93198
48315,11038
32021,4637
29201,25412
6107,537190
48317,736
48319,20215
29205,6338
48321,43650
29207,52945
5017,10337
48323,44671
53027,39377
49003,47409
48325,81560
32023,30171
36001,248212
36003,33199
36005,1112732
36007,138646
36009,75607
6109,51852
36011,19932
36013,134884
36015,77481
36017,36721
36019,61639
36021,41457
36023,17433
36025,38589
8019,1385
36027,222866
36029,867926
36031,32200
36033,42752
36035,22700
36037,27577
36039,42107
36041,5357
36043,46290
36045,86388
36047,2218102
36049,45391
36051,28396
36053,12708
36055,550825
6049,6102
36057,39407
36059,1113569
36061,1446180
36063,210009
36065,253848
36067,508076
36069,124365
6111,879214
36071,278540
36073,74689
5041,10970
36075,136706
36077,90944
36079,87555
36081,2258398
36083,150887
36085,470396
36087,279296
36089,114162
36091,199233
36093,189493
36095,37902
36097,14007
36099,17809
36101,111644
36103,1437187
36105,109379
36107,83626
36109,121193
36111,201436
36113,48953
36115,95784
36117,201244
36119,1005672
32027,20901
36121,55997
36123,52693
6113,200418
21047,50944
32029,3757
6031,60487
6115,106539
28003,24442
28005,3514
28007,4843
28009,2440
28011,11621
28013,5999
28015,2790
28017,8687
28019,8529
28021,7162
28023,8837
28027,23273
28029,1516
28033,102612
28037,8248
28041,3050
28043,6233
28045,27248
28047,129210
32031,388075
28049,243112
28051,14951
28053,7187
28055,418
28057,10026
28059,173549
28061,18152
28063,36874
28065,13795
28067,37851
28069,5427
28071,28399
28073,68011
28075,68756
28077,12805
28079,9822
48399,6554
28081,46012
28083,31293
28085,44065
28087,52151
28089,77945
28091,27150
28093,66330
28095,62783
28097,17760
28099,8925
5097,8615
28101,40880
28103,8703
28105,39755
28107,13676
